Sample	Type	AneuploidyScore(AS)	AS_del	AS_amp	Genome_doublings	Leuk	Purity	Stroma	Stroma_notLeukocyte
TCGA-18-3406-01	LUSC	8	8	0	0	0.337486526	0.48	0.52	0.182513474
TCGA-18-3407-01	LUSC	25	5	20	1	0.325946193	0.29	0.71	0.384053807
TCGA-18-3408-01	LUSC	5	3	2	0	0.144959384	0.76	0.24	0.095040616
TCGA-18-3410-01	LUSC	20	7	13	1	0.106935471	0.65	0.35	0.243064529
TCGA-18-3411-01	LUSC	19	6	13	2	0.148829453	0.53	0.47	0.321170547
TCGA-18-3412-01	LUSC	17	15	2	1	0.074463347	0.78	0.22	0.145536653
TCGA-18-3414-01	LUSC	11	2	9	0	0.06244521	0.77	0.23	0.16755479
TCGA-18-3415-01	LUSC	17	13	4	1	0.078695164	0.48	0.52	0.441304836
TCGA-18-3416-01	LUSC	19	14	5	1	0.272732706	0.51	0.49	0.217267294
TCGA-18-3417-01	LUSC	29	18	11	2	0.2806257	0.31	0.69	0.4093743
TCGA-18-3419-01	LUSC	11	7	4	0	0.335695196	0.57	0.43	0.094304804
TCGA-18-3421-01	LUSC	13	5	8	1	0.192879866	0.47	0.53	0.337120134
TCGA-18-4083-01	LUSC	14	9	5	1	0.077643738	0.68	0.32	0.242356262
TCGA-18-4086-01	LUSC	4	3	1	0	0.280096233	0.6	0.4	0.119903767
TCGA-18-4721-01	LUSC	9	9	0	0	0.438948795	0.39	0.61	0.171051205
TCGA-18-5592-01	LUSC	12	9	3	0	0.137005561	0.85	0.15	0.012994439
TCGA-21-1071-01	LUSC	25	11	14	2	0.420078265	0.29	0.71	0.289921735
TCGA-21-1072-01	LUSC	19	6	13	1	0.062071941	0.74	0.26	0.197928059
TCGA-21-1075-01	LUSC	19	10	9	1	0.054073075	0.75	0.25	0.195926925
TCGA-21-1076-01	LUSC	32	17	15	1	0.503454964	0.2	0.8	0.296545036
TCGA-21-1079-01	LUSC	19	6	13	1	0.059207333	0.6	0.4	0.340792667
TCGA-21-1080-01	LUSC	13	10	3	0	0.075745896	0.77	0.23	0.154254104
TCGA-21-1081-01	LUSC	31	21	10	1	0.047331586	0.49	0.51	0.462668414
TCGA-21-1082-01	LUSC	10	8	2	0	0.176282512	0.69	0.31	0.133717488
TCGA-21-5782-01	LUSC	9	7	2	0	0.337587294	0.48	0.52	0.182412706
TCGA-21-5783-01	LUSC	17	8	9	1	0.20292972	0.57	0.43	0.22707028
TCGA-21-5784-01	LUSC	12	2	10	1	0.479272343	0.18	0.82	0.340727657
TCGA-21-5786-01	LUSC	24	15	9	1	0.231770698	0.58	0.42	0.188229302
TCGA-21-5787-01	LUSC	23	18	5	1	0.338384615	0.5	0.5	0.161615385
TCGA-22-0940-01	LUSC	11	8	3	0	0.366703443	0.4	0.6	0.233296557
TCGA-22-0944-01	LUSC	10	7	3	0	0.080187294	0.66	0.34	0.259812706
TCGA-22-1000-01	LUSC	11	10	1	0	0.422468568	0.18	0.82	0.397531432
TCGA-22-1002-01	LUSC	9	7	2	0	0.308618836	0.38	0.62	0.311381164
TCGA-22-1005-01	LUSC	4	4	0	0	0.59540495	0.12	0.88	0.28459505
TCGA-22-1011-01	LUSC	18	17	1	0	0.483668169	0.36	0.64	0.156331831
TCGA-22-1012-01	LUSC	22	10	12	1	0.834843341	0.32	0.68	-0.154843341
TCGA-22-1016-01	LUSC	22	20	2	1	0.302886364	0.33	0.67	0.367113636
TCGA-22-1017-01	LUSC	10	5	5	1	0.287329698	0.34	0.66	0.372670302
TCGA-22-4591-01	LUSC	19	8	11	2	0.061897864	0.73	0.27	0.208102136
TCGA-22-4593-01	LUSC	17	15	2	1	0.133007093	0.77	0.23	0.096992907
TCGA-22-4594-01	LUSC	23	13	10	2	0.435827982	0.24	0.76	0.324172018
TCGA-22-4595-01	LUSC	11	10	1	0	0.353602584	0.46	0.54	0.186397416
TCGA-22-4596-01	LUSC	6	0	6	0	0.449433944	0.69	0.31	-0.139433944
TCGA-22-4599-01	LUSC	28	17	11	1	0.312948754	0.47	0.53	0.217051246
TCGA-22-4601-01	LUSC	8	6	2	0	0.108186328	0.78	0.22	0.111813672
TCGA-22-4604-01	LUSC	21	7	14	2	0.05528113	0.84	0.16	0.10471887
TCGA-22-4605-01	LUSC	22	7	15	1	0.402233388	0.24	0.76	0.357766612
TCGA-22-4607-01	LUSC	12	9	3	0	0.186116593	0.63	0.37	0.183883407
TCGA-22-4609-01	LUSC	14	10	4	0	0.38720342	0.42	0.58	0.19279658
TCGA-22-4613-01	LUSC	12	9	3	0	0.333079247	0.62	0.38	0.046920753
TCGA-22-5471-01	LUSC	19	10	9	1	0.319893358	0.44	0.56	0.240106642
TCGA-22-5472-01	LUSC	9	8	1	0	0.205270823	0.65	0.35	0.144729177
TCGA-22-5473-01	LUSC	19	14	5	1	0.135090054	0.58	0.42	0.284909946
TCGA-22-5474-01	LUSC	9	6	3	0	0.370463949	0.55	0.45	0.079536051
TCGA-22-5477-01	LUSC	16	13	3	1	0.087626268	0.73	0.27	0.182373732
TCGA-22-5478-01	LUSC	24	17	7	1	0.306703821	0.4	0.6	0.293296179
TCGA-22-5479-01	LUSC	32	10	22	1	0.34292001	0.28	0.72	0.37707999
TCGA-22-5480-01	LUSC	9	7	2	0	0.219465921	0.71	0.29	0.070534079
TCGA-22-5481-01	LUSC	15	8	7	1	0.138736678	0.7	0.3	0.161263322
TCGA-22-5482-01	LUSC	14	5	9	1	0.160630245	0.66	0.34	0.179369755
TCGA-22-5483-01	LUSC	26	12	14	1	0.111769742	0.7	0.3	0.188230258
TCGA-22-5485-01	LUSC	13	7	6	0	0.118339994	0.72	0.28	0.161660006
TCGA-22-5489-01	LUSC	11	4	7	0	0.377385729	0.43	0.57	0.192614271
TCGA-22-5491-01	LUSC	16	12	4	1	0.150315485	0.67	0.33	0.179684515
TCGA-22-5492-01	LUSC	9	7	2	0	0.326543502	0.56	0.44	0.113456498
TCGA-22-A5C4-01	LUSC	17	13	4	1	0.185345269	0.68	0.32	0.134654731
TCGA-33-4532-01	LUSC	24	20	4	2	0.06321661	0.56	0.44	0.37678339
TCGA-33-4533-01	LUSC	10	7	3	2	0.212526859	0.7	0.3	0.087473141
TCGA-33-4538-01	LUSC	20	9	11	1	0.05101042	0.59	0.41	0.35898958
TCGA-33-4547-01	LUSC	13	10	3	0	0.030821232	0.49	0.51	0.479178768
TCGA-33-4566-01	LUSC	19	15	4	1	0.270582939	0.53	0.47	0.199417061
TCGA-33-4582-01	LUSC	15	12	3	1	0.256239724	0.54	0.46	0.203760276
TCGA-33-4583-01	LUSC	26	7	19	1	0.249406429	0.52	0.48	0.230593571
