ID	Description	GeneRatio	BgRatio	pvalue	qvalue	genes	geneID	Count	clusters	generatio	bgratio
path:hsa05200	Pathways in cancer - Homo sapiens (human)	28/526	526/22000	1.81256668039e-11	7.88826633908e-09	TGFB2; TGFB3; ITGA3; FOXO1; RUNX1T1; EDNRB; WNT4; TGFA; FZD1; SPI1; STAT1; GLI2; ETS1; JAG1; IGF2; PIM2; PRKCB; STAT4; DLL4; HGF; FGFR1; NOTCH4; WNT2; KIT; NOTCH3; IL6; F2R; FASLG	2736/2113/356/2149/8321/182/2260/2308/6688/6772/4854/4855/11040/862/7039/7043/3082/54361/7042/54567/7472/3481/5579/3569/3675/6775/3815/1910	28	2	0.0532319391634981	0.0239090909090909
None	GPCR signaling-G alpha q	17/274	274/22000	2.55795673953e-08	1.76214797612e-06	IGF2; TGFA; TGFB2; TGFB3; CD40LG; FZD1; WNT2; PRKCB; IL16; CD86; IL6; WNT4; FASLG; HGF; DLL4; IL1B; JAG1	959/3481/942/182/3553/3082/5579/7042/356/54567/3603/7472/7039/8321/3569/7043/54361	17	2	0.062043795620438	0.0124545454545455
None	GPCR signaling-G alpha i	16/262	262/22000	8.40784299499e-08	4.34405221408e-06	TGFA; FZD1; TGFB2; TGFB3; CD40LG; WNT2; IL16; CD86; IL6; WNT4; DLL4; HGF; FASLG; IL1B; JAG1; IGF2	959/942/182/8321/3553/3082/54567/3603/7472/7039/356/7042/7043/3481/3569/54361	16	2	0.0610687022900763	0.0119090909090909
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	10/134	134/22000	4.23469363828e-06	9.37682162761e-05	IGF2; TGFB2; TGFB3; PRKCB; ACTN1; ECM1; HGF; FLNA; PLEK; SERPINE1	3481/2316/7042/5054/87/1893/3082/5341/5579/7043	10	2	0.0746268656716418	0.00609090909090909
WP304	Kit receptor signaling pathway	7/59	59/22000	5.83451426323e-06	0.00012057996144	STAT1; VAV1; PRKCB; KIT; TBX2; SNAI1; BTK	6909/695/3815/6615/6772/5579/7409	7	2	0.11864406779661	0.00268181818181818
WP4172	PI3K-Akt Signaling Pathway	15/340	339/22000	1.19856274216e-05	0.00017693069051	IGF2; TLR2; FASLG; ITGA3; KIT; IL6; F2R; CREB3L1; OSM; RELN; COL1A1; HGF; SPP1; TGFA; FGFR1	3569/3481/5008/3675/2260/3815/1277/7097/2149/3082/7039/6696/5649/356/90993	15	2	0.0441176470588235	0.0154090909090909
path:hsa05165	Human papillomavirus infection - Homo sapiens (human)	15/339	339/22000	1.19856274216e-05	0.00017693069051	FZD1; IRF1; JAG1; STAT1; NOTCH4; WNT2; ITGA3; WNT4; FOXO1; CREB3L1; SPP1; RELN; COL1A1; FASLG; NOTCH3	5649/2308/6696/3659/54361/3675/6772/8321/4854/4855/1277/7472/182/356/90993	15	2	0.0442477876106195	0.0154090909090909
WP4086	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	4/14	14/22000	1.73212805047e-05	0.000233460737238	TGFA; APOE; MYBL2; KIT	3815/348/7039/4605	4	2	0.285714285714286	0.000636363636363636
R-HSA-114608	Platelet degranulation 	9/129	129/22000	2.23085022762e-05	0.000276625428224	IGF2; TGFB2; TGFB3; ACTN1; ECM1; HGF; FLNA; PLEK; SERPINE1	3481/2316/7042/5054/87/1893/3082/5341/7043	9	2	0.0697674418604651	0.00586363636363636
WP306	Focal Adhesion	11/198	198/22000	2.34828729298e-05	0.000279988100317	ACTN1; PRKCB; VAV1; ITGA3; SPP1; RELN; COL1A1; HGF; FLNA; HCK; CAV1	2316/87/3675/5579/857/3082/7409/6696/5649/1277/3055	11	2	0.0555555555555556	0.009
