p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.50920013621e-09	5.01840027243e-08	Gene expression (Transcription)	Reactome	R-HSA-74160	TAF1C; ZNF337; ZNF169; MED31; DDX39B; ZNF785; ZC3H8; TAF1D; ZNF692; ZNF688; KAT2A; PIDD1; L3MBTL1; SARNP; SAP18; HDAC10; ZNF354B; ZNF133; ZNF23; ZNF19	55657; 169841; 55367; 79101; 26013; 26152; 84524; 84324; 10284; 117608; 7567; 9013; 146542; 2648; 7692; 83933; 146540; 7919; 51003; 7571	1439	1347
1.69241592942e-07	1.69241592942e-06	RNA Polymerase II Transcription	Reactome	R-HSA-73857	ZNF337; ZNF169; MED31; DDX39B; ZNF354B; ZC3H8; ZNF692; ZNF688; KAT2A; PIDD1; L3MBTL1; ZNF785; ZNF19; ZNF23; HDAC10; ZNF133; SARNP	55657; 169841; 146542; 55367; 2648; 7919; 7567; 51003; 26013; 26152; 7571; 83933; 84324; 84524; 117608; 7692; 146540	1307	1219
8.08211170342e-06	5.38807446895e-05	Generic Transcription Pathway	Reactome	R-HSA-212436	ZNF337; ZNF169; MED31; ZNF785; ZNF354B; ZNF692; ZNF688; KAT2A; PIDD1; L3MBTL1; ZNF19; ZNF23; HDAC10; ZNF133	55657; 169841; 146542; 55367; 2648; 7567; 51003; 26013; 26152; 7571; 83933; 117608; 7692; 146540	1178	1091
7.91684846609e-05	0.000345271590837	Negative epigenetic regulation of rRNA expression	Reactome	R-HSA-5250941	TAF1C; SAP18; TAF1D	9013; 10284; 79101	89	25
0.000100207029235	0.000345271590837	B-WICH complex positively regulates rRNA expression	Reactome	R-HSA-5250924	TAF1C; KAT2A; TAF1D	9013; 2648; 79101	94	27
0.000105024543675	0.000345271590837	Epigenetic regulation of gene expression	Reactome	R-HSA-212165	TAF1C; SAP18; KAT2A; TAF1D	9013; 2648; 10284; 79101	140	73
0.000124591691863	0.000345271590837	RNA Polymerase I Transcription Initiation	Reactome	R-HSA-73762	TAF1C; KAT2A; TAF1D	2648; 79101; 9013	32	29
0.000138108636335	0.000345271590837	RNA Polymerase I Promoter Clearance	Reactome	R-HSA-73854	TAF1C; KAT2A; TAF1D	2648; 79101; 9013	33	30
0.000167928848621	0.000373175219158	RNA Polymerase I Transcription	Reactome	R-HSA-73864	TAF1C; KAT2A; TAF1D	2648; 79101; 9013	35	32
0.000379608371027	0.000759216742055	Positive epigenetic regulation of rRNA expression	Reactome	R-HSA-5250913	TAF1C; KAT2A; TAF1D	9013; 2648; 79101	109	42
0.00064031835745	0.00106719726242	Chromatin modifying enzymes	Reactome	R-HSA-3247509	MECOM; ELP6; SAP18; KAT2A; HDAC10	2648; 10284; 54859; 2122; 83933	271	207
0.00064031835745	0.00106719726242	Chromatin organization	Reactome	R-HSA-4839726	MECOM; ELP6; SAP18; KAT2A; HDAC10	2648; 10284; 54859; 2122; 83933	271	207
