Pval,Mean1,Mean2,FC_Mean,Padjust
UBE2V1,1,0,0,0,1
HIST1H2AM,1,0,0,0,1
FAM129B,1,0,0,0,1
CYR61,1,0,0,0,1
TAF10,0.985,-0.003,-0.004,0.001,0.997
UTP15,0.981,0.001,-0.005,0.006,0.995
IPPK,0.944,-0.004,-0.001,-0.003,0.961
SCAND1,0.794,-0.001,-0.004,0.003,0.811
MUC1,0.737,0,-0.003,0.003,0.754
SIRT6,0.695,-0.002,-0.002,0,0.713
ZNF576,0.682,-0.005,-0.002,-0.003,0.702
PRDM16,0.662,-0.002,-0.002,-0.001,0.683
SNAPC5,0.581,-0.001,-0.004,0.003,0.602
WDR5,0.398,-0.003,0.001,-0.004,0.413
ZNF862,0.382,-0.001,0.001,-0.002,0.398
EDNRB,0.336,-0.001,-0.004,0.003,0.352
BCL11B,0.311,-0.001,-0.003,0.002,0.326
IRF9,0.205,-0.003,0.001,-0.004,0.216
BOLA3,0.204,0,-0.004,0.005,0.215
RUVBL2,0.0917,-0.005,0,-0.005,0.097
NR2F2,0.0899,-0.003,-0.002,-0.001,0.0954
ZFPL1,0.0747,0,-0.003,0.003,0.0795
SEM1,0.068,-0.004,-0.002,-0.001,0.0726
PIM2,0.0641,-0.001,-0.006,0.005,0.0686
C1QBP,0.0465,-0.004,0.002,-0.006,0.0499
ADIRF,0.0379,-0.004,0.001,-0.005,0.0408
SPIB,0.0313,0.001,-0.001,0.002,0.0339
APBB1,0.0193,0.002,-0.007,0.009,0.0209
PSMD6,0.00622,-0.006,0.004,-0.01,0.00676
TCEAL2,0.00247,0.003,-0.01,0.012,0.00269
METTL23,0.00108,-0.006,0.002,-0.008,0.00118
PIN1,0.000703,-0.008,0.003,-0.011,0.000772
MED31,0.000524,-0.006,0.003,-0.009,0.000577
EHF,0.00048,-0.004,0.005,-0.009,0.00053
ANXA3,0.000399,-0.009,0.004,-0.013,0.000443
ELF4,0.000295,0.004,-0.006,0.01,0.000328
